Entity,Super
Q7048762,['Q179899']
Q926996,['Q179899']
Q680081,['Q179899']
Q936155,['Q179899']
Q168344,['Q179899']
Q648995,['Q1155772']
Q973321,['Q125539']
Q104493,"['Q1202245', 'Q13649246', 'Q21170479']"
Q101208084,"['Q21146257', 'Q19361238']"
Q837171,"['Q7406919', 'Q25351891', 'Q268592', 'Q8187769']"
Q5280486,"['Q133163', 'Q12639', 'Q1254773']"
Q1162163,"['Q4164871', 'Q12737077', 'Q28640', 'Q978044', 'Q2462658', 'Q25713832', 'Q59260362']"
Q6958747,"['Q1914636', 'Q33104129']"
Q11424100,"['Q4897819', 'Q4167410']"
Q475042,['Q60680430']
Q431,"['Q420', 'Q4671286', 'Q11862829']"
Q99397804,"['Q28598684', 'Q24017414']"
Q100195948,['Q1207505']
Q100171002,['Q30028999']
Q100529537,"['Q24017414', 'Q16889133']"
Q251777,"['Q1299714', 'Q657069']"
Q104837,['Q230875']
Q1519259,"['Q9420', 'Q35120']"
Q2515887,"['Q4026292', 'Q2083958']"
Q21281405,['Q17442446']
Q2742167,"['Q177634', 'Q43229', 'Q2135465', 'Q23847174']"
Q1454986,"['Q58778', 'Q96116695']"
