Entity,Super
Q15142889,"['Q16889133', 'Q20937557']"
Q39546,"['Q2424752', 'Q16798631', 'Q35825432']"
Q188055,"['Q207645', 'Q273976']"
Q14952,"['Q1065579', 'Q11460']"
Q4164871,"['Q214339', 'Q16686448']"
Q6857706,"['Q1047113', 'Q28640']"
Q47064,"['Q1250916', 'Q12737077', 'Q703534', 'Q28640']"
Q1190554,['Q26907166']
Q1333024,['Q3030569']
Q14524031,"['Q1333024', 'Q11460']"
Q20793164,['Q16798631']
Q806880,"['Q80071', 'Q340169', 'Q2560056']"
Q100792256,"['Q19478619', 'Q11028']"
Q17335294,['Q112110']
Q165115,"['Q729', 'Q16521']"
Q57814795,"['Q622852', 'Q57812611']"
Q55983715,"['Q21871294', 'Q19361238', 'Q16334298']"
Q649107,['Q222405']
Q768186,"['Q2184715', 'Q16798631']"
Q15407649,['Q222405']
Q9180322,"['Q1514280', 'Q1617400', 'Q29431432']"
Q14745,"['Q2424752', 'Q1357761', 'Q8205328', 'Q31807746']"
Q16103215,"['Q2235308', 'Q16335899', 'Q24017414']"
Q8023902,['Q2120578']
Q35872,"['Q1229765', 'Q16103215', 'Q41321608']"
Q173603,"['Q1333024', 'Q485027', 'Q14952']"
Q11798718,['Q18643213']
Q2235308,"['Q19478619', 'Q16335899']"
Q170483,"['Q2235308', 'Q8023902', 'Q11446']"
Q178561,"['Q645883', 'Q13418847', 'Q650711']"
Q1229765,"['Q16335899', 'Q334166', 'Q42889', 'Q50380212']"
Q16391167,['Q42889']
Q104385260,"['Q1194773', 'Q15142889']"
Q64418,"['Q15142889', 'Q728']"
Q2424752,"['Q15401930', 'Q2897903']"
Q16798631,"['Q2424752', 'Q8205328']"
Q35825432,['Q35120']
Q207645,"['Q2000344', 'Q66740226']"
Q273976,['Q645883']
Q1065579,"['Q362200', 'Q11460']"
Q11460,"['Q386724', 'Q2424752']"
Q214339,['Q4897819']
Q16686448,['Q488383']
Q1047113,"['Q5962346', 'Q24017414', 'Q9081']"
Q28640,"['Q192581', 'Q12737077', 'Q19361238', 'Q24017414']"
Q12737077,"['Q151885', 'Q24017414', 'Q61788060']"
Q703534,"['Q852998', 'Q12737077', 'Q327055']"
Q26907166,['Q58415929']
Q215627,"['Q830077', 'Q795052', 'Q24229398', 'Q18336849']"
Q154954,"['Q151885', 'Q3778211']"
Q164509,"['Q72638', 'Q45983014']"
Q3030569,['Q16798631']
Q80071,"['Q478798', 'Q3695082']"
Q340169,['Q286583']
Q2560056,"['Q340169', 'Q1554180']"
Q19478619,"['Q151885', 'Q5127848', 'Q19868531', 'Q23958852']"
Q11028,['Q7184903']
Q112110,"['Q80071', 'Q478798', 'Q4502142']"
Q729,"['Q7239', 'Q16521']"
Q16521,"['Q21871294', 'Q24017414']"
Q622852,['Q729']
Q57812611,"['Q57812559', 'Q7377']"
Q21871294,"['Q16889133', 'Q98119401', 'Q24017414']"
Q19361238,"['Q19478619', 'Q21522864', 'Q24017465']"
Q16334298,"['Q24017414', 'Q61961344']"
Q222405,['Q125734']
Q2184715,"['Q2424752', 'Q28877']"
Q1514280,['Q222405']
Q1617400,['Q222405']
Q29431432,"['Q99469810', 'Q28813620']"
Q1357761,['Q223557']
Q8205328,"['Q223557', 'Q16686448']"
Q31807746,"['Q17537576', 'Q223557', 'Q16686448']"
Q728,"['Q18643213', 'Q39546']"
Q1058629,"['Q15142889', 'Q2862124']"
Q16889133,"['Q19478619', 'Q99527517']"
Q20937557,['Q16887380']
Q16335899,"['Q16889133', 'Q24017414']"
Q24017414,"['Q24017465', 'Q23959932']"
Q2120578,['Q19279121']
Q41321608,['Q42889']
Q485027,['Q50414774']
Q18643213,['Q16798631']
Q645883,"['Q1190554', 'Q28972820']"
Q13418847,['Q1190554']
Q334166,"['Q16889133', 'Q21146257', 'Q19361238', 'Q21162272']"
Q42889,"['Q987767', 'Q3245975', 'Q334166', 'Q11019']"
Q50380212,['Q337060']
Q1194773,"['Q153556', 'Q15142889']"
Q107425,['Q1496967']
Q271669,['Q12766313']
Q1496967,['Q82794']
Q12766313,['Q35145263']
Q1411242,['Q31172650']
Q60227,['Q451967']
Q31172650,['Q2393196']
Q451967,"['Q4026292', 'Q3769299', 'Q104637332', 'Q61788060']"
Q22676,['Q161928']
Q161928,['Q1065579']
Q207961,"['Q937228', 'Q246672', 'Q24034552']"
Q781413,"['Q2996394', 'Q14912053']"
Q2996394,"['Q3249551', 'Q13878858', 'Q64732777']"
Q14912053,"['Q2996394', 'Q22299483']"
Q102250838,"['Q189829', 'Q12737077', 'Q4504549']"
Q2566598,"['Q4504549', 'Q63188683']"
Q63187345,"['Q151885', 'Q4164871', 'Q12737077', 'Q24017414']"
Q189829,"['Q12737077', 'Q17573152']"
Q4504549,"['Q17573152', 'Q63188683']"
Q63188683,"['Q151885', 'Q4164871', 'Q24017414', 'Q28640', 'Q63187345']"
Q151885,"['Q1347367', 'Q2145290', 'Q7184903', 'Q23958852']"
Q189533,['Q3529618']
Q3332438,"['Q39631', 'Q28640']"
Q66811410,"['Q19361238', 'Q3922583']"
Q3529618,"['Q618779', 'Q828803', 'Q16023913']"
Q39631,"['Q12737077', 'Q11974939', 'Q66811410']"
Q3922583,"['Q24017414', 'Q28640']"
Q756,"['Q7239', 'Q16521']"
Q7239,['Q27043950']
Q8514257,['Q66424847']
Q66424847,['Q12893838']
Q1900281,['Q11259415']
Q11259415,['Q2695280']
Q61961344,"['Q16887380', 'Q98119401']"
Q811979,"['Q386724', 'Q618123', 'Q102074988', 'Q4406616', 'Q811430']"
Q1183543,['Q16686448']
Q386724,"['Q15401930', 'Q16686448']"
Q618123,['Q27096213']
Q102074988,"['Q16686448', 'Q15710813']"
Q4406616,"['Q488383', 'Q33104279', 'Q96251598']"
Q811430,"['Q386724', 'Q35145743']"
Q41176,"['Q811979', 'Q13226383']"
Q1006733,"['Q2083910', 'Q101998', 'Q1496967']"
Q52105,['Q1496967']
Q2083910,['Q101998']
Q101998,"['Q107425', 'Q30336093']"
Q157957,['Q756']
Q757163,['Q756']
Q1048314,['Q1075']
Q1075,"['Q214609', 'Q1207505', 'Q4373292', 'Q14506045', 'Q40890790']"
Q15636229,"['Q796194', 'Q55215846']"
Q600236,['Q796194']
Q796194,"['Q3249551', 'Q41689629', 'Q46857']"
Q55215846,"['Q103994247', 'Q24017414', 'Q55214844']"
Q1074814,"['Q6554101', 'Q39546', 'Q44575957']"
Q1760958,['Q39546']
Q44575957,"['Q103994247', 'Q24017414', 'Q44580842']"
Q6554101,"['Q1183543', 'Q39546', 'Q44580842']"
Q103994247,"['Q19478619', 'Q24017465']"
Q44580842,"['Q103994247', 'Q103995117', 'Q24017414']"
Q486972,"['Q82794', 'Q177634', 'Q2221906', 'Q27096235']"
Q3257686,"['Q486972', 'Q2221906', 'Q48907157']"
Q56061,"['Q15642541', 'Q15617994']"
Q82794,"['Q2221906', 'Q618123', 'Q27096213']"
Q177634,['Q874405']
Q2221906,"['Q937228', 'Q17334923', 'Q66747521']"
Q27096235,"['Q8205328', 'Q27096213']"
Q48907157,"['Q2221906', 'Q15989253', 'Q4503801']"
Q15642541,"['Q16686448', 'Q1496967']"
Q15617994,"['Q217594', 'Q12047392', 'Q104098715', 'Q24017414']"
Q24060707,['Q20011319']
Q20011319,"['Q4936952', 'Q104030742', 'Q28845870']"
Q184806,['Q5608096']
